,controln,state,gender,medianhv,ic1,ic4,hvp1,percapita,pobc1,pobc2,ic2,ic3,avggift,tcode,dob,domain,target_d
0,44060,FL,Male,801.0,392,520.0,7,21975.0,6,16,430.0,466,28.0,1,1901,C2,100.0
1,96093,IL,Male,537.0,365,473.0,0,19387.0,1,89,415.0,410,5.666666667,0,0,T2,7.0
2,43333,FL,Female,725.0,301,436.0,3,18837.0,11,17,340.0,361,4.111111111,0,2501,C2,5.0
3,21885,NC,Male,801.0,401,413.0,7,14014.0,1,74,407.0,399,27.27777778,0,2208,T2,38.0
4,190108,FL,Female,995.0,252,348.0,0,17991.0,5,6,280.0,316,6.0,28,0,C2,5.0
5,100640,IL,Male,764.0,457,501.0,1,16022.0,2,75,477.0,480,25.57142857,1,6104,S2,30.0
6,18581,NC,Female,775.0,318,419.0,5,13491.0,0,73,364.0,380,4.625,0,4407,R2,12.0
7,119038,TX,Male,890.0,519,560.0,0,17872.0,2,46,525.0,551,6.175,1002,0,C1,7.0
8,173223,CA,Female,801.0,184,250.0,0,8708.0,2,63,206.0,235,8.818181818,0,1801,T2,10.0
9,141720,NV,Female,1569.0,673,781.0,22,25775.0,3,44,672.0,785,13.0,28,5401,T1,5.0
10,186272,CA,Female,3515.0,521,588.0,97,20068.0,11,54,565.0,549,8.64,2,3401,U1,10.0
11,154301,Cali,Female,1026.0,459,496.0,1,13803.0,12,52,470.0,491,11.25,2,2801,T2,10.0
12,189722,AP,Male,0.0,0,0.0,0,0.0,0,0,0.0,0,5.727272727,1,0,0,6.0
13,73699,MI,Unknown,890.0,463,523.0,1,9493.0,5,53,474.0,512,11.28571429,1,5102,S1,15.0
14,31977,FL,Female,1513.0,521,702.0,31,28124.0,3,24,599.0,615,18.5,2,2701,T1,28.0
15,44336,FL,Female,948.0,330,411.0,4,17728.0,6,8,365.0,368,15.0,0,6501,C2,15.0
16,127823,TX,Female,258.0,64,74.0,0,4236.0,0,94,60.0,93,5.45,2,2301,C3,6.0
17,150739,CA,Unknown,1951.0,556,625.0,44,17208.0,10,66,578.0,619,9.681818182,2,5410,S1,12.0
18,114721,OK,Unknown,1040.0,472,656.0,0,26962.0,2,56,609.0,579,11.66666667,0,0,C2,15.0
19,111795,AR,Unknown,603.0,208,341.0,2,12038.0,1,70,264.0,288,5.0,0,0,0,5.0
20,64480,IN,Female,526.0,277,370.0,1,12826.0,1,80,336.0,317,7.142857143,28,0,T2,10.0
21,87259,MT,Male,717.0,302,432.0,1,15614.0,1,53,458.0,349,9.7,2,4304,C1,25.0
22,115823,TX,Male,1011.0,593,650.0,1,17606.0,5,61,588.0,650,6.5,0,0,S1,15.0
23,95701,IL,Male,1063.0,255,317.0,3,14023.0,16,53,260.0,312,8.372790698,1,4406,S2,5.0
24,5172,IL,Male,291.0,136,212.0,0,8370.0,5,67,168.0,180,10.61111111,1,6105,R3,10.0
25,152486,CA,Male,1538.0,271,393.0,11,15627.0,5,49,317.0,342,5.5,1,2401,S2,5.0
26,153880,WI,Female,592.0,244,392.0,1,12220.0,3,74,341.0,306,12.5,2,5001,S1,5.0
27,101855,MO,Male,871.0,340,416.0,6,15336.0,0,71,385.0,365,7.857142857,1,2401,C2,10.0
28,62932,IN,Male,403.0,174,264.0,1,9704.0,0,45,240.0,201,8.0,1,0,S3,10.0
29,125930,TX,Female,715.0,339,396.0,1,12617.0,3,88,378.0,371,6.0,0,4806,R2,7.5
30,173653,HI,Female,2346.0,420,503.0,67,14552.0,5,78,446.0,468,15.5,28,2401,C2,21.0
31,11011,FL,Male,559.0,232,269.0,0,10511.0,11,20,270.0,257,12.61111111,1002,2601,S3,20.0
32,116894,TX,Male,801.0,368,531.0,5,33797.0,2,42,457.0,450,12.25,1,2201,U1,20.0
33,154245,CA,Female,596.0,164,190.0,0,5273.0,23,57,168.0,181,16.5,2,4304,R1,15.0
34,134773,UT,Male,706.0,362,394.0,1,10420.0,1,82,376.0,379,15.0,1,3201,C3,25.0
35,26271,GA,Female,878.0,310,588.0,30,22281.0,4,55,517.0,433,10.13333333,28,3701,C2,16.0
36,180292,WA,Female,1275.0,405,545.0,21,20971.0,6,51,453.0,500,6.6,28,2105,C2,10.0
37,10145,CA,Female,2362.0,613,678.0,74,21179.0,9,61,632.0,655,8.928571429,2,5401,C1,5.0
38,133806,ID,Unknown,718.0,226,357.0,0,17292.0,0,39,280.0,278,20.0,0,0,T2,15.0
39,112632,CT,Male,2531.0,669,750.0,77,21094.0,6,51,730.0,696,8.272727273,2,5001,0,11.0
40,143253,CA,Female,2089.0,275,356.0,56,10484.0,53,36,296.0,322,7.125,0,2101,U3,5.0
41,403,AL,Unknown,765.0,408,472.0,1,15150.0,1,68,430.0,441,33.5,0,3901,0,35.0
42,189882,ND,Female,832.0,310,376.0,0,11972.0,1,85,338.0,348,10.0,0,4201,C2,10.0
43,119570,TX,Male,1458.0,299,446.0,8,19185.0,4,56,354.0,356,6.181818182,1,5201,S1,10.0
44,144021,CA,Female,1590.0,240,257.0,25,7559.0,57,34,238.0,262,13.5,0,4903,U4,15.0
45,93356,IL,Female,613.0,212,355.0,0,11792.0,1,60,245.0,294,11.83333333,0,3705,U2,25.0
46,24711,SC,Female,477.0,256,316.0,0,10621.0,1,80,282.0,292,5.875,0,0,T2,10.0
47,74914,IA,Female,424.0,192,256.0,0,9497.0,1,78,256.0,230,4.863636364,0,1501,T2,6.0
48,6909,CO,Male,383.0,252,380.0,0,14045.0,0,78,256.0,359,13.82352941,1,2801,R3,15.0
49,124543,TX,Male,688.0,422,490.0,0,16561.0,0,84,466.0,457,11.06666667,1002,5811,T1,18.0
50,163018,CA,Male,3500.0,351,407.0,57,26034.0,36,28,260.0,463,15.66666667,1,0,U1,24.0
51,190671,CA,Unknown,2143.0,280,373.0,63,12935.0,29,36,353.0,328,9.260869565,0,1901,0,14.0
52,33356,FL,Female,625.0,246,536.0,3,19102.0,1,47,466.0,362,14.09090909,0,1401,S1,20.0
53,151600,Cali,Male,1560.0,500,485.0,5,13816.0,22,38,488.0,487,15.0,1,6601,S2,21.0
54,21259,NC,Female,716.0,146,382.0,1,11136.0,2,66,339.0,227,12.47826087,0,4001,C2,15.0
55,128987,TX,Female,1247.0,215,444.0,17,16891.0,16,50,313.0,350,26.33333333,28,3912,U1,41.0
56,108926,LA,Male,611.0,265,337.0,1,12313.0,4,52,323.0,302,15.0,1,2601,T2,20.0
57,154709,Cali,Female,1431.0,291,376.0,24,10498.0,18,48,390.0,315,13.0,0,0,S2,5.0
58,108050,LA,Female,1089.0,431,538.0,1,16777.0,2,64,520.0,480,5.2,0,1401,T1,16.0
59,187274,IA,Female,435.0,244,329.0,0,10692.0,2,76,298.0,281,15.0,0,0,R2,15.0
60,171655,Cali,Female,1409.0,321,428.0,21,15611.0,3,57,405.0,377,12.66666667,0,0,S3,12.0
61,160488,OR,Male,647.0,369,463.0,0,18492.0,6,34,422.0,401,9.5,0,0,C2,10.0
62,21305,NC,Male,415.0,199,300.0,0,11449.0,0,86,308.0,242,8.333333333,1,5601,R2,10.0
63,98470,IL,Female,492.0,172,399.0,0,13218.0,3,85,384.0,276,8.75,2,1108,T2,14.0
64,140586,TX,Male,1043.0,610,788.0,13,49744.0,2,70,682.0,731,13.25,1,0,T1,20.0
65,158101,Cali,Male,3668.0,690,780.0,97,32964.0,10,44,693.0,781,15.0,1,1701,S1,15.0
66,150043,Cali,Male,3491.0,791,903.0,94,32718.0,18,44,828.0,853,20.0,1002,3201,S1,20.0
67,96251,IL,Female,192.0,164,224.0,0,7361.0,3,89,211.0,186,5.866666667,0,4401,T3,10.0
68,188547,Cali,Male,0.0,0,0.0,0,0.0,0,0,0.0,0,20.26086957,1,0,U4,25.0
69,180617,WA,Male,824.0,225,383.0,10,13090.0,7,52,308.0,293,7.483333333,1002,2101,C2,11.0
70,86000,SD,Female,428.0,205,309.0,0,11192.0,2,62,318.0,245,11.25,0,1201,C2,10.0
71,13265,AL,Female,417.0,122,250.0,0,9715.0,0,64,283.0,160,7.75,28,1901,C3,11.0
72,71,TN,Female,399.0,307,352.0,0,11428.0,0,85,315.0,336,6.818181818,0,3401,R2,16.0
73,148969,Cali,Female,2377.0,633,663.0,85,19545.0,13,53,637.0,652,9.111111111,0,0,C1,10.0
74,156324,Cali,Unknown,2016.0,431,497.0,51,17882.0,11,53,465.0,459,8.75,0,0,S1,15.0
75,130976,CO,Female,933.0,289,379.0,0,14104.0,6,42,332.0,349,8.142857143,2,1412,C2,7.0
76,140141,NM,Female,619.0,215,268.0,4,10427.0,2,50,222.0,260,12.8,0,4401,R2,14.0
77,85416,Cali,Female,3303.0,533,614.0,94,24251.0,13,45,568.0,586,14.0,0,0,C2,25.0
78,108150,LA,Female,960.0,479,613.0,0,19518.0,10,57,526.0,548,15.2,2,6312,S1,20.0
79,129823,CO,Male,1236.0,622,737.0,13,25882.0,2,29,630.0,727,6.076923077,1002,5601,S1,10.0
80,104413,AZ,Male,473.0,164,215.0,1,9819.0,6,23,179.0,207,5.5,1,4201,R2,6.0
81,60512,IL,Unknown,1055.0,366,400.0,0,11289.0,8,74,462.0,379,20.8,2,2801,S2,25.0
82,90480,IL,Female,1509.0,545,680.0,19,23170.0,7,75,617.0,599,9.0,0,4201,C1,11.0
83,148911,Cali,Female,1953.0,454,564.0,47,21667.0,11,47,526.0,478,15.5,28,7201,C2,10.0
84,52990,TN,Male,927.0,299,410.0,1,14428.0,1,56,322.0,372,5.0,1002,3801,T2,26.0
85,148022,Cali,Female,2098.0,305,368.0,56,13564.0,56,25,311.0,352,6.076923077,0,4608,U2,10.0
86,147406,Cali,Male,5209.0,1054,1128.0,99,52654.0,7,47,1220.0,1058,30.94117647,1002,2801,U1,38.0
87,103468,MO,Female,476.0,219,319.0,0,10966.0,1,74,280.0,272,7.1,0,4103,T2,15.0
88,84100,MN,Male,1515.0,648,781.0,17,25787.0,6,63,684.0,717,14.0,72,3201,S1,14.0
89,137548,AZ,Male,2158.0,411,640.0,54,33235.0,7,12,516.0,535,7.933333333,0,2009,C1,9.0
90,6932,MO,Male,1110.0,460,624.0,5,21875.0,2,58,544.0,538,7.264705882,1,1708,S1,10.0
91,37118,FL,Unknown,581.0,349,373.0,0,9667.0,19,53,361.0,359,9.857142857,0,2607,S2,15.0
92,109179,LA,Male,563.0,259,342.0,3,10726.0,1,90,301.0,308,10.18181818,0,4201,R2,14.0
93,140642,NM,Female,740.0,240,324.0,2,10701.0,9,26,288.0,294,5.0,2,2710,T2,5.0
94,77057,IA,Female,516.0,332,379.0,0,13293.0,2,75,378.0,347,12.33333333,0,3601,S2,15.0
95,83131,MN,Male,575.0,249,316.0,0,9843.0,0,86,282.0,290,10.0,1,0,R2,20.0
96,168078,Cali,Male,2357.0,511,609.0,81,23786.0,26,55,540.0,570,13.66666667,1,3501,S1,19.0
97,32975,SC,Male,645.0,304,376.0,0,6826.0,3,15,360.0,306,10.875,1,5908,S2,25.0
98,37472,FL,Male,825.0,233,301.0,0,9747.0,63,21,239.0,290,20.0,1,0,C3,20.0
99,63113,IN,Male,531.0,246,290.0,0,10423.0,2,70,278.0,272,5.375,0,2805,T2,5.0
100,57039,KY,Female,195.0,131,179.0,0,5727.0,0,94,148.0,159,4.302325581,0,2911,R3,5.0
101,58786,KY,Female,423.0,293,279.0,0,10343.0,0,82,297.0,274,6.055555556,0,2701,R2,20.0
102,164306,Cali,Female,2725.0,629,734.0,83,24424.0,9,51,684.0,662,15.0,0,0,S2,30.0
103,113129,OK,Female,359.0,220,299.0,0,13024.0,0,64,247.0,270,20.0,0,1501,S1,20.0
104,19094,CT,Female,1373.0,472,517.0,2,17363.0,5,71,463.0,504,28.33333333,28,0,T1,40.0
105,102224,NJ,Unknown,1439.0,370,464.0,3,13353.0,15,61,414.0,417,6.125,1002,0,S1,6.0
106,155375,Cali,Female,889.0,398,495.0,0,13782.0,7,68,488.0,450,5.846153846,2,2201,S2,6.0
107,185030,FL,Male,824.0,248,326.0,0,15008.0,15,7,274.0,288,10.15384615,0,1704,U1,10.0
108,149887,Cali,Male,1993.0,442,520.0,49,16427.0,15,53,472.0,484,10.83333333,1,0,C3,15.0
109,117216,TX,Female,618.0,233,394.0,0,12864.0,9,75,310.0,302,10.25,2,6201,S2,30.0
110,167892,Cali,Female,3259.0,267,591.0,83,19399.0,17,49,626.0,508,7.666666667,0,0,U1,10.0
111,107618,NE,Female,151.0,180,273.0,0,9138.0,0,68,208.0,230,2.361111111,0,1801,R3,2.0
112,72410,MI,Male,492.0,272,402.0,0,14442.0,1,55,370.0,317,14.57142857,0,0,T2,20.0
113,112319,AR,Female,892.0,380,468.0,5,19444.0,2,21,406.0,426,17.0,2,3201,C1,30.0
114,28061,GA,Female,948.0,531,584.0,1,19537.0,2,65,530.0,585,5.484848485,0,5902,T2,5.0
115,108371,LA,Female,717.0,190,302.0,0,10888.0,21,62,313.0,235,24.16666667,28,1401,U2,20.0
116,187807,MI,Male,612.0,330,400.0,1,13162.0,1,27,326.0,392,12.1,1,8305,R2,22.0
117,180383,WA,Female,919.0,338,346.0,1,12507.0,5,56,337.0,349,8.214285714,0,609,C3,11.0
118,183013,WA,Male,697.0,317,406.0,0,13561.0,3,34,364.0,337,10.0,1,3001,S2,11.0
119,187769,Cali,Male,5059.0,693,847.0,99,29368.0,10,48,752.0,751,10.6,1,5403,S1,25.0
120,191056,Cali,Male,5667.0,492,848.0,98,51280.0,11,35,808.0,594,28.83333333,1,801,U1,47.0
121,151891,Cali,Female,2750.0,668,781.0,91,26199.0,10,44,701.0,717,11.44444444,0,0,S2,15.0
122,5822,KS,Female,513.0,400,482.0,0,20842.0,3,66,434.0,436,6.07675,2,2901,S2,11.0
123,164969,Cali,Female,1848.0,505,581.0,33,19729.0,28,49,515.0,560,5.684210526,0,6001,S1,7.0
124,172846,Cali,Male,1417.0,406,508.0,18,18590.0,29,49,341.0,519,14.11111111,0,4201,C2,10.0
125,95951,IL,Female,347.0,210,286.0,0,10356.0,6,74,255.0,229,8.076923077,0,4804,C3,20.0
126,18089,NC,Male,994.0,404,530.0,2,17420.0,1,70,475.0,485,13.77777778,2,5001,C1,25.0
127,35276,FL,Unknown,3542.0,642,843.0,76,53131.0,3,31,690.0,807,6.642857143,2,1701,C1,10.0
128,18607,NC,Male,797.0,377,451.0,2,16163.0,0,74,418.0,423,7.769230769,1,6001,T2,23.0
129,61275,IN,Male,791.0,361,428.0,1,13805.0,1,74,407.0,390,7.636363636,1,4801,T2,12.0
130,36141,FL,Female,957.0,408,459.0,16,17718.0,5,17,399.0,450,15.0,28,2805,C1,10.0
131,85716,MN,Female,357.0,164,254.0,0,8443.0,1,78,214.0,215,25.0,0,2401,R3,25.0
132,154195,Cali,Female,896.0,336,418.0,2,14513.0,7,46,362.0,389,20.0,0,0,T2,20.0
133,46755,AL,Female,402.0,232,300.0,0,10540.0,1,86,249.0,276,4.833333333,0,0,R2,5.0
134,13239,FL,Male,3083.0,166,332.0,52,16019.0,26,3,270.0,233,2.916666667,1,2901,C1,3.0
135,86068,SD,Female,460.0,247,372.0,0,11245.0,1,69,357.0,300,9.363636364,0,0,R2,5.0
136,67900,MI,Male,294.0,279,404.0,0,10385.0,2,80,355.0,391,17.5,1,4801,U4,20.0
137,59610,IN,Female,1199.0,547,605.0,2,20694.0,0,69,556.0,597,10.0,28,2301,T1,15.0
138,13378,CA,Female,1125.0,280,362.0,15,10857.0,10,51,336.0,305,5.714285714,0,2401,T2,7.0
139,20752,NC,Male,974.0,252,330.0,3,13321.0,2,32,279.0,300,8.533333333,2,2001,C2,13.0
140,30934,GA,Male,316.0,213,280.0,0,8956.0,0,79,238.0,254,12.5,0,905,R2,15.0
141,102163,MO,Female,825.0,401,555.0,1,28003.0,4,49,463.0,464,25.0,0,4301,C1,30.0
142,128976,TX,Female,642.0,271,312.0,0,9453.0,12,35,284.0,306,6.142857143,0,7001,S2,10.0
143,44088,IN,Male,1263.0,468,601.0,21,26265.0,4,58,517.0,548,7.6875,1,3602,C1,10.0
144,154931,CA,Female,1809.0,454,543.0,35,15886.0,12,44,466.0,503,8.0,28,0,C2,10.0
145,87939,IL,Male,5294.0,1035,1065.0,96,60053.0,12,57,1165.0,1012,13.0,2,901,S1,30.0
146,140779,NV,Female,1161.0,448,570.0,5,20691.0,8,14,484.0,536,5.75,0,4601,S1,6.0
147,113838,OK,Female,295.0,150,248.0,0,8962.0,1,62,203.0,195,6.333333333,2,0,R3,8.0
148,156568,CA,Unknown,3020.0,756,823.0,95,26135.0,4,46,765.0,809,40.08333333,0,4812,S1,75.0
149,130485,CO,Female,431.0,258,541.0,0,25828.0,3,32,342.0,386,8.571428571,0,3001,U2,16.0
150,101803,MO,Female,544.0,264,340.0,0,16194.0,1,71,283.0,326,11.0,0,4701,C3,25.0
151,41899,FL,Male,618.0,223,335.0,2,13341.0,7,22,278.0,278,7.846153846,1002,0,U3,10.0
152,30795,GA,Male,323.0,183,210.0,2,7139.0,0,77,207.0,201,5.444444444,2,0,T3,10.0
153,133256,ID,Male,1104.0,511,566.0,7,17366.0,3,50,528.0,534,13.0,2,2002,C1,10.0
154,151203,CA,Unknown,2135.0,417,456.0,58,18907.0,10,55,417.0,433,8.2,0,0,0,5.0
155,31425,GA,Male,671.0,287,441.0,3,16517.0,4,70,365.0,372,4.888888889,0,3901,T3,16.0
156,70524,MI,Female,510.0,228,394.0,0,12576.0,1,80,370.0,324,10.8,0,3204,R2,23.0
157,161229,CA,Female,650.0,302,318.0,13,7080.0,43,49,302.0,315,8.666666667,0,4201,R2,21.0
158,83181,MN,Female,487.0,248,327.0,0,10792.0,1,88,287.0,286,12.72727273,0,0,R2,15.0
159,143528,CA,Female,2925.0,288,376.0,83,23046.0,27,21,305.0,353,7.523809524,0,4905,U1,10.0
160,42970,FL,Male,884.0,242,313.0,1,13491.0,6,6,268.0,271,4.428571429,1,0,T2,3.0
161,83708,MN,Female,753.0,341,442.0,0,15502.0,1,80,393.0,373,8.4,28,5609,S1,10.0
162,101390,MO,Female,594.0,337,347.0,1,13094.0,0,79,350.0,343,2.571428571,2,5701,C2,2.0
163,77898,WI,Male,627.0,367,444.0,0,15350.0,6,71,427.0,394,7.5,1,2808,S2,10.0
164,77345,WI,Male,806.0,331,447.0,0,15120.0,1,85,420.0,382,13.2,1,0,S1,16.0
165,142579,CA,Female,3149.0,504,672.0,80,22033.0,8,33,601.0,562,10.71428571,0,201,U1,20.0
166,162209,CA,Female,5266.0,495,785.0,96,43828.0,17,36,675.0,669,9.2,0,2005,S1,10.0
167,171396,CA,Male,1401.0,441,466.0,1,15438.0,6,49,445.0,462,5.0,0,0,C2,6.0
168,129530,CO,Male,593.0,163,230.0,0,9520.0,8,33,180.0,207,12.5,1,5401,S2,10.0
169,33773,FL,Female,915.0,308,438.0,13,17783.0,8,19,357.0,367,13.0,0,0,R1,20.0
170,10031,NE,Female,456.0,258,381.0,2,13411.0,2,75,311.0,314,7.285714286,0,3001,T2,10.0
171,62056,IN,Male,610.0,319,407.0,0,11815.0,0,86,336.0,384,4.625,0,4601,R2,7.0
172,11494,FL,Male,1229.0,469,544.0,21,17313.0,2,30,502.0,507,8.4,2,6501,T1,5.0
173,44847,FL,Male,428.0,140,208.0,1,9064.0,7,35,196.0,171,9.769230769,0,5201,T2,10.0
174,94851,IL,Female,2333.0,316,744.0,61,33535.0,18,45,643.0,420,7.307692308,2,1601,U1,10.0
175,15668,NC,Male,707.0,383,433.0,0,13852.0,0,84,400.0,398,9.333333333,0,4101,R2,45.0
176,175579,OR,Female,377.0,171,187.0,0,21980.0,16,42,199.0,219,16.66666667,0,4806,U4,20.0
177,150534,CA,Unknown,1624.0,380,408.0,13,9685.0,38,47,382.0,407,5.0,980,0,U3,4.0
178,68441,MI,Female,348.0,184,316.0,0,11686.0,0,71,269.0,264,27.5,0,4201,U4,30.0
179,157185,CA,Female,1878.0,523,566.0,35,16084.0,8,62,526.0,564,6.785652174,0,0,C1,5.0
180,90816,IL,Female,777.0,378,423.0,0,14106.0,6,84,386.0,396,17.8,0,5309,S2,20.0
181,94915,IL,Female,1463.0,117,523.0,8,13344.0,26,60,439.0,266,12.16666667,0,4309,U1,15.0
182,118392,TX,Male,375.0,153,248.0,0,7798.0,1,84,214.0,206,5.347826087,2,1701,R3,12.0
183,187571,IN,Unknown,561.0,302,331.0,1,10873.0,0,60,301.0,323,19.66666667,0,0,R2,26.0
184,21659,NC,Male,502.0,199,261.0,1,8726.0,0,85,250.0,229,7.875,1002,5401,R2,10.0
185,157672,CA,Male,4206.0,789,850.0,93,37411.0,19,36,804.0,834,12.66666667,2,3101,C1,10.0
186,64166,IN,Male,800.0,283,425.0,4,15160.0,7,60,398.0,338,16.6,1,1701,T2,23.0
187,185304,CO,Male,1472.0,625,732.0,27,27469.0,3,24,653.0,687,15.21428571,1,2505,T1,21.0
188,57963,KY,Female,492.0,332,471.0,3,21410.0,0,71,450.0,425,8.4375,28,2709,C2,10.0
189,98249,IL,Female,609.0,314,385.0,1,11360.0,0,92,347.0,349,6.666666667,0,0,R2,10.0
190,153689,CA,Female,2430.0,604,669.0,85,20529.0,11,42,610.0,659,9.5,0,3001,S1,20.0
191,157807,CA,Male,2559.0,581,651.0,84,21559.0,13,51,591.0,614,10.25,1,2401,S1,16.0
192,41715,FL,Unknown,696.0,272,427.0,7,16474.0,7,22,357.0,358,3.3,0,0,U3,3.0
193,45356,FL,Male,762.0,254,411.0,7,17458.0,7,13,355.0,327,6.608695652,1,2006,U2,8.0
194,163506,CA,Female,3556.0,735,805.0,98,34382.0,9,55,701.0,838,15.85714286,0,0,U1,15.0
195,107727,NE,Female,441.0,260,353.0,0,12452.0,1,75,321.0,300,5.279069767,0,4007,T2,7.0
196,64212,IN,Female,502.0,319,388.0,0,12989.0,1,80,363.0,341,15.66666667,0,2601,C2,20.0
197,60252,IN,Male,673.0,284,373.0,0,15149.0,1,67,330.0,335,13.45454546,1,0,S2,15.0
198,45101,FL,Female,1173.0,322,494.0,5,18738.0,7,14,424.0,407,4.125,2,0,C1,3.0
199,36528,FL,Female,934.0,323,400.0,1,9980.0,73,17,373.0,376,25.0,0,2303,S2,25.0
200,38820,FL,Male,1332.0,357,497.0,2,21444.0,14,15,411.0,422,9.576923077,2,1306,C1,20.0
201,133906,ID,Female,451.0,225,294.0,1,10244.0,1,43,261.0,262,15.0,0,0,R2,10.0
202,12226,CO,Female,649.0,238,302.0,0,10417.0,7,60,273.0,272,5.411764706,0,1301,C2,8.0
203,8696,OK,Female,590.0,410,456.0,0,13115.0,1,65,439.0,433,13.0,2,0,T2,11.0
204,119368,TX,Female,500.0,291,379.0,0,19609.0,6,50,316.0,314,11.5,28,4008,C1,25.0
205,14319,FL,Male,368.0,230,295.0,0,9547.0,0,68,271.0,261,10.7,1,2601,S3,19.0
206,118408,TX,Male,427.0,315,377.0,0,11299.0,2,86,365.0,340,9.0,1,2109,R2,15.0
207,146585,CA,Female,1458.0,173,249.0,7,8381.0,40,38,191.0,220,4.243243243,0,0,U3,8.0
208,120115,TX,Male,274.0,154,256.0,1,8881.0,6,84,214.0,199,40.875,1,701,R3,200.0
209,57463,KY,Female,584.0,274,341.0,0,15105.0,3,62,287.0,336,11.14285714,0,2512,S2,10.0
210,94394,IL,Female,553.0,306,348.0,0,9296.0,2,72,309.0,333,8.916666667,2,3308,U3,10.0
211,155135,CA,Male,903.0,321,390.0,0,10985.0,8,54,406.0,358,6.75,1,3001,S3,7.0
212,149595,CA,Male,2545.0,361,358.0,80,14300.0,38,37,304.0,386,12.5,1,6008,S2,17.0
