controln,state,gender,medianhv,ic1,ic4,hvp1,percapita,pobc1,pobc2,ic2,ic3,avggift,tcode,dob,domain,target_d
44060,FL,M,,392,520.0,7,21975.0,6,16,430.0,466,28.0,1,1901,C2,100.0
96093,IL,M,537.0,365,473.0,0,19387.0,1,89,415.0,410,5.666666667,0,0,T2,7.0
43333,FL,F,725.0,301,436.0,3,18837.0,11,17,340.0,361,4.111111111,0,2501,C2,5.0
21885,NC,M,,401,413.0,7,14014.0,1,74,407.0,399,27.27777778,0,2208,T2,38.0
190108,FL,F,995.0,252,348.0,0,17991.0,5,6,280.0,316,6.0,28,0,C2,5.0
100640,IL,M,764.0,457,501.0,1,16022.0,2,75,477.0,480,25.57142857,1,6104,S2,30.0
18581,NC,female,775.0,318,419.0,5,13491.0,0,73,364.0,380,4.625,0,4407,R2,12.0
119038,TX,M,890.0,519,560.0,0,17872.0,2,46,525.0,551,6.175,1002,0,C1,7.0
173223,CA,F,,184,250.0,0,8708.0,2,63,206.0,235,8.818181818,0,1801,T2,10.0
157988,CA,F,,593,617.0,61,17838.0,7,62,,619,6.666666667,28,0,S1,10.0
141720,NV,F,1569.0,673,781.0,22,25775.0,3,44,672.0,785,13.0,28,5401,T1,5.0
186272,CA,F,3515.0,521,588.0,97,20068.0,11,54,565.0,549,8.64,2,3401,U1,10.0
154301,Cali,F,1026.0,459,496.0,1,13803.0,12,52,470.0,491,11.25,2,2801,T2,10.0
189722,AP,Male,0.0,0,0.0,0,0.0,0,0,0.0,0,5.727272727,1,0,0,6.0
188304,KS,F,376.0,263,316.0,0,,1,75,303.0,287,10.55,0,2405,T2,10.0
73699,MI,,890.0,463,523.0,1,9493.0,5,53,474.0,512,11.28571429,1,5102,S1,15.0
31977,FL,F,1513.0,521,702.0,31,28124.0,3,24,599.0,615,18.5,2,2701,T1,28.0
44336,FL,F,948.0,330,411.0,4,17728.0,6,8,365.0,368,15.0,0,6501,C2,15.0
127823,TX,F,258.0,64,74.0,0,4236.0,0,94,60.0,93,5.45,2,2301,C3,6.0
150739,CA,U,1951.0,556,625.0,44,17208.0,10,66,578.0,619,9.681818182,2,5410,S1,12.0
41384,FL,F,556.0,318,,0,11779.0,16,22,358.0,320,9.428571429,28,5107,S3,12.0
114721,OK,,1040.0,472,656.0,0,26962.0,2,56,609.0,579,11.66666667,0,0,C2,15.0
111795,AR,,603.0,208,341.0,2,12038.0,1,70,264.0,288,5.0,0,0,0,5.0
64480,IN,F,526.0,277,370.0,1,12826.0,1,80,336.0,317,7.142857143,28,0,T2,10.0
87259,MT,M,717.0,302,432.0,1,15614.0,1,53,458.0,349,9.7,2,4304,C1,25.0
115823,TX,M,1011.0,593,650.0,1,17606.0,5,61,588.0,650,6.5,0,0,S1,15.0
95701,IL,M,1063.0,255,317.0,3,14023.0,16,53,260.0,312,8.372790698,1,4406,S2,5.0
5172,IL,M,291.0,136,212.0,0,8370.0,5,67,168.0,180,10.61111111,1,6105,R3,10.0
152486,CA,M,1538.0,271,393.0,11,15627.0,5,49,317.0,342,5.5,1,2401,S2,5.0
153880,WI,F,592.0,244,392.0,1,12220.0,3,74,341.0,306,12.5,2,5001,S1,5.0
101855,MO,M,871.0,340,416.0,6,15336.0,0,71,385.0,365,7.857142857,1,2401,C2,10.0
62932,IN,M,403.0,174,264.0,1,9704.0,0,45,240.0,201,8.0,1,0,S3,10.0
125930,TX,F,715.0,339,396.0,1,12617.0,3,88,378.0,371,6.0,0,4806,R2,7.5
173653,HI,F,2346.0,420,503.0,67,14552.0,5,78,446.0,468,15.5,28,2401,C2,21.0
11011,FL,M,559.0,232,269.0,0,10511.0,11,20,270.0,257,12.61111111,1002,2601,S3,20.0
116894,TX,M,,368,531.0,5,33797.0,2,42,457.0,450,12.25,1,2201,U1,20.0
154245,CA,F,596.0,164,190.0,0,5273.0,23,57,168.0,181,16.5,2,4304,R1,15.0
134773,UT,M,706.0,362,394.0,1,10420.0,1,82,376.0,379,15.0,1,3201,C3,25.0
26271,GA,F,878.0,310,588.0,30,22281.0,4,55,517.0,433,10.13333333,28,3701,C2,16.0
180292,WA,F,1275.0,405,545.0,21,20971.0,6,51,453.0,500,6.6,28,2105,C2,10.0
10145,CA,F,2362.0,613,678.0,74,21179.0,9,61,632.0,655,8.928571429,2,5401,C1,5.0
133806,ID,U,718.0,226,357.0,0,17292.0,0,39,280.0,278,20.0,0,0,T2,15.0
112632,CT,M,2531.0,669,750.0,77,21094.0,6,51,730.0,696,8.272727273,2,5001,0,11.0
143253,CA,F,2089.0,275,356.0,56,10484.0,53,36,296.0,322,7.125,0,2101,U3,5.0
403,AL,J,765.0,408,472.0,1,15150.0,1,68,430.0,441,33.5,0,3901,0,35.0
189882,ND,F,832.0,310,376.0,0,11972.0,1,85,338.0,348,10.0,0,4201,C2,10.0
119570,TX,M,1458.0,299,446.0,8,19185.0,4,56,354.0,356,6.181818182,1,5201,S1,10.0
144021,CA,F,1590.0,240,257.0,25,7559.0,57,34,238.0,262,13.5,0,4903,U4,15.0
93356,IL,F,613.0,212,355.0,0,11792.0,1,60,245.0,294,11.83333333,0,3705,U2,25.0
24711,SC,F,477.0,256,316.0,0,10621.0,1,80,282.0,292,5.875,0,0,T2,10.0
74914,IA,F,424.0,192,256.0,0,9497.0,1,78,256.0,230,4.863636364,0,1501,T2,6.0
6909,CO,M,383.0,252,380.0,0,14045.0,0,78,256.0,359,13.82352941,1,2801,R3,15.0
124543,TX,M,688.0,422,490.0,0,16561.0,0,84,466.0,457,11.06666667,1002,5811,T1,18.0
163018,CA,M,3500.0,351,407.0,57,26034.0,36,28,260.0,463,15.66666667,1,0,U1,24.0
190671,CA,,2143.0,280,373.0,63,12935.0,29,36,353.0,328,9.260869565,0,1901,0,14.0
33356,FL,F,625.0,246,536.0,3,19102.0,1,47,466.0,362,14.09090909,0,1401,S1,20.0
151600,Cali,M,1560.0,500,485.0,5,13816.0,22,38,488.0,487,15.0,1,6601,S2,21.0
21259,NC,female,716.0,146,382.0,1,11136.0,2,66,339.0,227,12.47826087,0,4001,C2,15.0
128987,TX,F,1247.0,215,444.0,17,16891.0,16,50,313.0,350,26.33333333,28,3912,U1,41.0
108926,LA,M,611.0,265,337.0,1,12313.0,4,52,323.0,302,15.0,1,2601,T2,20.0
154709,Cali,F,1431.0,291,376.0,24,10498.0,18,48,390.0,315,13.0,0,0,S2,5.0
108050,LA,F,1089.0,431,538.0,1,16777.0,2,64,520.0,480,5.2,0,1401,T1,16.0
187274,IA,F,435.0,244,329.0,0,10692.0,2,76,298.0,281,15.0,0,0,R2,15.0
171655,Cali,F,1409.0,321,428.0,21,15611.0,3,57,405.0,377,12.66666667,0,0,S3,12.0
160488,OR,M,647.0,369,463.0,0,18492.0,6,34,422.0,401,9.5,0,0,C2,10.0
21305,NC,M,415.0,199,300.0,0,11449.0,0,86,308.0,242,8.333333333,1,5601,R2,10.0
98470,IL,F,492.0,172,399.0,0,13218.0,3,85,384.0,276,8.75,2,1108,T2,14.0
140586,TX,M,1043.0,610,788.0,13,49744.0,2,70,682.0,731,13.25,1,0,T1,20.0
158101,Cali,M,3668.0,690,780.0,97,32964.0,10,44,693.0,781,15.0,1,1701,S1,15.0
150043,Cali,M,3491.0,791,903.0,94,32718.0,18,44,828.0,853,20.0,1002,3201,S1,20.0
96251,IL,F,192.0,164,224.0,0,7361.0,3,89,211.0,186,5.866666667,0,4401,T3,10.0
188547,Cali,M,0.0,0,0.0,0,0.0,0,0,0.0,0,20.26086957,1,0,U4,25.0
180617,WA,male,824.0,225,383.0,10,13090.0,7,52,308.0,293,7.483333333,1002,2101,C2,11.0
86000,SD,F,428.0,205,309.0,0,11192.0,2,62,318.0,245,11.25,0,1201,C2,10.0
13265,AL,F,417.0,122,250.0,0,9715.0,0,64,283.0,160,7.75,28,1901,C3,11.0
71,TN,F,399.0,307,352.0,0,11428.0,0,85,315.0,336,6.818181818,0,3401,R2,16.0
148969,Cali,F,2377.0,633,663.0,85,19545.0,13,53,637.0,652,9.111111111,0,0,C1,10.0
156324,Cali,,2016.0,431,497.0,51,17882.0,11,53,465.0,459,8.75,0,0,S1,15.0
130976,CO,F,933.0,289,379.0,0,14104.0,6,42,332.0,349,8.142857143,2,1412,C2,7.0
140141,NM,F,619.0,215,268.0,4,10427.0,2,50,222.0,260,12.8,0,4401,R2,14.0
85416,Cali,F,3303.0,533,614.0,94,24251.0,13,45,568.0,586,14.0,0,0,C2,25.0
108150,LA,F,960.0,479,613.0,0,19518.0,10,57,526.0,548,15.2,2,6312,S1,20.0
129823,CO,M,1236.0,622,737.0,13,25882.0,2,29,630.0,727,6.076923077,1002,5601,S1,10.0
104413,AZ,M,473.0,164,215.0,1,9819.0,6,23,179.0,207,5.5,1,4201,R2,6.0
60512,IL,,1055.0,366,400.0,0,11289.0,8,74,462.0,379,20.8,2,2801,S2,25.0
90480,IL,F,1509.0,545,680.0,19,23170.0,7,75,617.0,599,9.0,0,4201,C1,11.0
