status,M_Y,noofaccounts,noofclients,moved_amount,nooftrans
A,April.1993,39,39,1337453,121
A,April.1994,110,110,4757468,614
A,April.1995,143,143,5616661,767
A,April.1996,177,177,7486553,953
A,April.1997,202,202,8432171,1167
A,April.1998,203,203,8746011,1174
A,August.1993,72,72,3087458,315
A,August.1994,122,122,5924554,692
A,August.1995,151,151,6252532,839
A,August.1996,191,191,8899914,1102
A,August.1997,203,203,9396113,1194
A,August.1998,203,203,8927306,1180
A,December.1993,103,103,5481573,558
A,December.1994,130,130,6930742,832
A,December.1995,159,159,8584796,1015
A,December.1996,197,197,10666531,1304
A,December.1997,203,203,12069920,1375
A,December.1998,201,201,10268651,1018
A,February.1993,17,17,361805,42
A,February.1994,106,106,3722916,530
A,February.1995,137,137,4854732,707
A,February.1996,165,165,6022329,902
A,February.1997,199,199,7438690,1079
A,February.1998,203,203,7566320,1091
A,January.1993,7,7,55742,10
A,January.1994,104,104,5618348,826
A,January.1995,136,136,7577886,1204
A,January.1996,160,160,10107208,1500
A,January.1997,198,198,11355975,1804
A,January.1998,203,203,11381279,1864
A,July.1993,65,65,2812214,280
A,July.1994,120,120,5071156,665
A,July.1995,149,149,6718503,860
A,July.1996,190,190,8450678,1060
A,July.1997,203,203,9139687,1196
A,July.1998,203,203,9582300,1212
A,June.1993,55,55,2643830,218
A,June.1994,115,115,6168624,682
A,June.1995,148,148,7914163,863
A,June.1996,187,187,9674703,1052
A,June.1997,203,203,12214512,1272
A,June.1998,203,203,11691796,1257
A,March.1993,31,31,840236,85
A,March.1994,106,106,4318853,567
A,March.1995,140,140,6030256,775
A,March.1996,176,176,6916248,941
A,March.1997,201,201,9395380,1195
A,March.1998,203,203,8424867,1167
A,May.1993,48,48,1942448,164
A,May.1994,113,113,5131348,648
A,May.1995,144,144,6577108,839
A,May.1996,183,183,7862279,998
A,May.1997,202,202,9160591,1169
A,May.1998,203,203,8956586,1170
A,November.1993,99,99,3356092,434
A,November.1994,128,128,5077937,698
A,November.1995,157,157,6041772,884
A,November.1996,197,197,8847681,1129
A,November.1997,203,203,9286273,1189
A,November.1998,203,203,8807356,1184
A,October.1993,88,88,3727257,411
A,October.1994,125,125,5326365,701
A,October.1995,152,152,6280832,866
A,October.1996,194,194,8619839,1139
A,October.1997,203,203,10503822,1251
A,October.1998,203,203,9338356,1192
A,September.1993,82,82,2990187,355
A,September.1994,123,123,5533009,683
A,September.1995,151,151,6231319,838
A,September.1996,193,193,8598843,1114
A,September.1997,203,203,10774544,1247
A,September.1998,203,203,8431280,1170
B,April.1993,5,5,274780,16
B,April.1994,18,18,793797,88
B,April.1995,23,23,713606,102
B,April.1996,28,28,1134211,149
B,April.1997,31,31,1323585,166
B,April.1998,31,31,1291838,164
B,August.1993,11,11,509708,46
B,August.1994,18,18,704072,96
B,August.1995,25,25,1237916,146
B,August.1996,30,30,1444558,174
B,August.1997,31,31,1654001,176
B,August.1998,31,31,1424065,179
B,December.1993,17,17,969288,100
